R00000000;P00000328;5;6.75
R00000000;P00000133;1;1.46
R00000000;P00000297;1;1.06
R00000000;P00000408;1;4.23
R00000000;P00000036;1;1.78
R00000000;P00000463;1;7.56
R00000000;P00000052;1;2.07
R00000000;P00000216;1;6.35
R00000000;P00000033;1;3.57
R00000000;P00000227;1;5.81
R00000000;P00000182;3;8.79
R00000000;P00000284;1;5.55
R00000000;P00000457;1;5.60
R00000000;P00000325;1;7.49
R00000000;P00000248;1;4.41
R00000000;P00000097;1;6.25
R00000000;P00000175;1;8.83
R00000000;P00000015;1;8.78
R00000000;P00000259;1;7.02
R00000000;P00000316;1;7.85
R00000000;P00000325;2;15.16
R00000000;P00000414;1;6.11
R00000000;P00000217;1;8.04
R00000000;P00000189;1;5.29
R00000000;P00000352;1;1.46
R00000000;P00000030;1;3.41
R00000000;P00000068;1;0.71
R00000000;P00000455;1;6.59
R00000000;P00000445;1;8.51
R00000000;P00000205;1;2.51
R00000001;P00000327;2;13.20
R00000001;P00000361;1;6.83
R00000001;P00000345;1;1.24
R00000001;P00000378;1;5.76
R00000001;P00000133;1;3.33
R00000001;P00000324;1;8.27
R00000001;P00000214;1;0.23
R00000001;P00000281;1;6.52
R00000001;P00000354;1;1.48
R00000001;P00000384;1;8.21
R00000001;P00000299;3;9.84
R00000001;P00000182;1;0.38
R00000001;P00000340;1;8.79
R00000001;P00000247;1;6.94
R00000001;P00000422;1;4.53
R00000001;P00000003;1;8.02
R00000001;P00000257;1;0.54
R00000001;P00000209;1;6.83
R00000001;P00000118;1;6.42
R00000001;P00000341;1;5.83
R00000001;P00000279;3;3.09
R00000001;P00000301;1;4.93
R00000001;P00000447;1;5.59
R00000001;P00000329;1;8.21
R00000001;P00000174;1;7.82
R00000001;P00000432;1;5.54
R00000001;P00000017;1;7.32
R00000001;P00000204;1;0.14
R00000001;P00000181;1;7.33
R00000001;P00000438;1;2.52
R00000001;P00000149;5;2.50
R00000001;P00000384;1;8.72
R00000001;P00000203;1;6.31
R00000001;P00000130;1;8.54
R00000001;P00000224;1;7.68
R00000001;P00000383;1;5.67
R00000001;P00000114;1;2.66
R00000001;P00000064;1;2.82
R00000001;P00000278;1;2.88
R00000001;P00000204;1;6.70
R00000001;P00000147;3;21.45
R00000001;P00000022;1;7.81
R00000001;P00000099;1;5.16
R00000001;P00000430;1;6.90
R00000001;P00000184;1;3.95
R00000001;P00000374;1;8.07
R00000001;P00000214;1;4.48
R00000002;P00000109;1;2.08
R00000002;P00000344;1;7.03
R00000002;P00000056;1;5.48
R00000002;P00000079;1;7.72
R00000002;P00000406;1;6.57
R00000002;P00000016;1;4.52
R00000002;P00000300;1;7.75
R00000002;P00000214;1;3.29
R00000002;P00000189;1;1.44
R00000002;P00000385;1;2.23
R00000002;P00000302;1;7.53
R00000002;P00000042;1;6.66
R00000002;P00000219;1;0.58
R00000003;P00000184;1;1.26
R00000003;P00000329;1;1.58
R00000003;P00000423;1;7.31
R00000003;P00000253;1;8.03
R00000003;P00000305;1;6.72
R00000003;P00000119;1;6.23
R00000003;P00000233;1;3.44
R00000003;P00000370;1;8.73
R00000003;P00000325;1;5.63
R00000003;P00000208;1;0.13
R00000003;P00000228;3;8.46
R00000003;P00000321;1;4.78
R00000003;P00000278;1;5.54
R00000003;P00000290;1;7.93
R00000003;P00000229;1;3.98
R00000003;P00000148;1;7.91
R00000003;P00000217;1;1.94
R00000003;P00000204;1;8.86
R00000003;P00000352;1;2.70
R00000003;P00000087;1;7.11
R00000003;P00000186;3;4.26
R00000003;P00000352;1;4.15
R00000003;P00000105;1;8.61
R00000003;P00000279;1;6.88
R00000003;P00000232;1;5.73
R00000003;P00000339;1;1.48
R00000003;P00000342;1;7.52
R00000003;P00000414;1;3.88
R00000004;P00000240;3;24.48
R00000004;P00000335;1;7.74
R00000004;P00000052;1;3.62
R00000004;P00000383;1;8.26
R00000004;P00000234;1;1.81
R00000004;P00000242;1;4.04
R00000004;P00000379;1;6.93
R00000004;P00000197;1;6.29
R00000004;P00000428;1;6.87
R00000004;P00000089;1;2.27
R00000004;P00000221;5;0.30
R00000004;P00000258;1;1.51
R00000004;P00000314;1;1.71
R00000004;P00000361;1;4.41
R00000004;P00000156;1;2.90
R00000004;P00000277;1;0.36
R00000004;P00000270;1;8.67
R00000004;P00000210;1;2.03
R00000004;P00000065;1;3.60
R00000004;P00000256;1;1.76
R00000004;P00000331;2;16.88
R00000004;P00000031;1;5.74
R00000004;P00000345;1;7.47
R00000004;P00000296;1;5.97
R00000005;P00000107;2;7.24
R00000005;P00000378;1;5.19
R00000005;P00000418;1;5.38
R00000005;P00000170;1;1.83
R00000005;P00000102;1;6.81
R00000005;P00000328;1;7.83
R00000005;P00000242;1;2.09
R00000005;P00000281;1;6.63
R00000005;P00000139;1;3.96
R00000005;P00000219;1;4.16
R00000005;P00000131;1;4.76
R00000005;P00000152;1;5.39
R00000005;P00000084;1;7.72
R00000005;P00000198;1;6.46
R00000005;P00000262;1;3.04
R00000005;P00000089;1;6.37
R00000005;P00000279;1;2.44
R00000005;P00000320;1;5.21
R00000005;P00000106;1;6.86
R00000005;P00000454;1;8.99
R00000005;P00000149;5;36.35
R00000006;P00000271;1;0.45
R00000006;P00000447;1;5.49
R00000006;P00000034;1;8.68
R00000006;P00000052;1;2.62
